                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.88803,                0.46867,                 0.9916,                0.83611,                0.76231,                0.84194,                0.58584,                 1.1282,                0.70689,                 1.1615,               0.001486,               0.001486,               0.001486
                    131,                 0.8826,                0.46615,                0.98756,                0.83659,                0.76188,                0.84187,                0.58576,                 1.1286,                0.70741,                  1.162,                0.00142,                0.00142,                0.00142
                    132,                0.88538,                 0.4625,                 0.9844,                0.83648,                0.76162,                0.84159,                0.58552,                  1.129,                0.70797,                 1.1623,               0.001354,               0.001354,               0.001354
                    133,                0.87673,                0.45719,                0.98363,                0.83645,                0.76146,                0.84131,                0.58546,                 1.1291,                0.70854,                 1.1621,               0.001288,               0.001288,               0.001288
                    134,                0.88368,                0.46451,                0.98673,                0.83728,                0.76093,                0.84125,                0.58539,                 1.1294,                0.70921,                 1.1624,               0.001222,               0.001222,               0.001222
                    135,                0.87766,                0.45714,                0.98508,                0.83938,                0.75942,                0.84099,                0.58511,                 1.1298,                0.70966,                 1.1627,               0.001156,               0.001156,               0.001156
                    136,                0.87681,                0.45744,                0.98523,                0.83916,                0.75945,                0.84094,                0.58509,                 1.1302,                0.71025,                 1.1631,                0.00109,                0.00109,                0.00109
                    137,                0.86526,                0.44833,                0.97859,                0.83904,                0.75942,                0.84062,                0.58481,                 1.1305,                0.71068,                 1.1635,               0.001024,               0.001024,               0.001024
                    138,                 0.8759,                 0.4553,                0.98373,                0.83952,                0.75906,                0.84045,                0.58465,                 1.1312,                0.71118,                  1.164,               0.000958,               0.000958,               0.000958
                    139,                 0.8649,                0.44713,                0.97949,                0.83836,                0.75972,                0.84021,                0.58443,                 1.1316,                0.71165,                 1.1644,               0.000892,               0.000892,               0.000892
                    140,                0.87126,                0.45254,                0.98316,                0.83797,                0.75987,                0.83993,                0.58429,                 1.1321,                0.71213,                  1.165,               0.000826,               0.000826,               0.000826
                    141,                0.85125,                0.43003,                0.97432,                0.83877,                0.75945,                 0.8398,                0.58418,                 1.1326,                0.71256,                 1.1654,                0.00076,                0.00076,                0.00076
                    142,                0.84224,                0.42194,                0.96656,                0.83894,                0.75925,                0.83982,                0.58404,                  1.133,                0.71296,                 1.1656,               0.000694,               0.000694,               0.000694
                    143,                0.83391,                0.41489,                0.96541,                0.83967,                0.75915,                0.83996,                0.58402,                 1.1334,                0.71324,                  1.166,               0.000628,               0.000628,               0.000628
                    144,                0.83493,                0.41824,                0.96641,                0.83924,                0.75915,                0.83973,                0.58396,                 1.1336,                0.71364,                  1.166,               0.000562,               0.000562,               0.000562
                    145,                0.83631,                0.42105,                0.97087,                 0.8401,                0.75841,                0.83967,                0.58383,                 1.1342,                0.71404,                 1.1666,               0.000496,               0.000496,               0.000496
                    146,                0.83202,                0.41627,                0.96777,                0.83948,                0.75864,                0.83943,                0.58369,                 1.1349,                0.71455,                 1.1671,                0.00043,                0.00043,                0.00043
                    147,                 0.8266,                0.41014,                0.96306,                 0.8395,                0.75857,                0.83935,                0.58357,                 1.1354,                0.71493,                 1.1677,               0.000364,               0.000364,               0.000364
                    148,                0.82289,                 0.4094,                0.96527,                0.83953,                0.75862,                0.83915,                0.58337,                  1.136,                0.71507,                 1.1683,               0.000298,               0.000298,               0.000298
                    149,                0.81784,                0.40454,                0.96124,                0.83972,                0.75857,                0.83892,                0.58328,                 1.1366,                0.71559,                 1.1688,               0.000232,               0.000232,               0.000232
                    150,                0.82488,                0.40662,                 0.9625,                0.83976,                0.75818,                0.83876,                0.58317,                  1.137,                 0.7161,                 1.1693,               0.000166,               0.000166,               0.000166
